genome_id	scientific_name	kingdom	phylum	class	order	family	genus	species
GCF_000198515.1	gamma proteobacterium HdN1	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	gamma proteobacterium HdN1
GCF_004296535.1	endosymbiont of Euscepes postfasciatus	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	endosymbiont of Euscepes postfasciatus
GCF_000801295.1	endosymbiont of unidentified scaly snail isolate Monju	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	endosymbiont of unidentified scaly snail isolate Monju
GCF_003151175.1	Gammaproteobacteria bacterium ESL0073	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Gammaproteobacteria bacterium ESL0073
GCF_003072645.1	Gammaproteobacteria bacterium DM2	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Gammaproteobacteria bacterium DM2
GCF_000342265.1	beta proteobacterium CB	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	beta proteobacterium CB
GCF_001953215.1	Betaproteobacteria bacterium GR16-43	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	Betaproteobacteria bacterium GR16-43
GCF_005697395.1	TM7 phylum sp. oral taxon 952	Bacteria	Candidatus Saccharibacteria	NA	NA	NA	NA	TM7 phylum sp. oral taxon 952
GCF_004102945.1	Vampirococcus sp. LiM	Bacteria	Candidatus Omnitrophica	NA	NA	NA	Candidatus Vampirococcus	Candidatus Vampirococcus archaeovorus
GCF_000972765.1	Verrucomicrobia bacterium IMCC26134	Bacteria	Verrucomicrobia	NA	NA	NA	NA	Verrucomicrobia bacterium IMCC26134
GCF_004299845.1	Verrucomicrobia bacterium S94	Bacteria	Verrucomicrobia	NA	NA	NA	NA	Verrucomicrobia bacterium S94
GCF_007741535.1	Planctomycetes bacterium K22_7	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium K22_7
GCF_007741495.1	Planctomycetes bacterium FF011L	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium FF011L
GCF_007741555.1	Planctomycetes bacterium K23_9	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium K23_9
GCF_007741515.1	Planctomycetes bacterium HG15A2	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium HG15A2
GCF_007753455.1	Planctomycetes bacterium K2D	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium K2D
GCF_007752135.1	Planctomycetes bacterium Q31a	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Q31a
GCF_007748035.1	Planctomycetes bacterium Pan181	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan181
GCF_007748055.1	Planctomycetes bacterium Pan216	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan216
GCF_007748075.1	Planctomycetes bacterium Pan265	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan265
GCA_007747015.1	Planctomycetes bacterium CA11	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium CA11
GCF_007751715.1	Planctomycetes bacterium CA51	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium CA51
GCF_007747995.1	Planctomycetes bacterium Mal52	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Mal52
GCF_007750395.1	Planctomycetes bacterium Pla110	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla110
GCF_007750655.1	Planctomycetes bacterium Pla163	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla163
GCF_007750855.1	Planctomycetes bacterium Pla175	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla175
GCF_007751035.1	Planctomycetes bacterium Pla85_3_4	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla85_3_4
GCF_007748095.1	Planctomycetes bacterium Pla133	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla133
GCF_007751255.1	Planctomycetes bacterium Pla86	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla86
GCF_007751475.1	Planctomycetes bacterium Poly30	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Poly30
GCF_007747445.1	Planctomycetes bacterium KS4	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium KS4
GCF_007747655.1	Planctomycetes bacterium ETA_A8	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium ETA_A8
GCF_007747215.1	Planctomycetes bacterium ETA_A1	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium ETA_A1
GCF_007747795.1	Planctomycetes bacterium Mal4	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Mal4
GCF_007748015.1	Planctomycetes bacterium Pan110	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan110
GCF_007751945.1	Planctomycetes bacterium Pan153	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan153
GCF_009002475.1	Planctomycetes bacterium SRT547	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium SRT547
GCF_001584725.1	endosymbiont 'TC1' of Trimyema compressum	Bacteria	Firmicutes	NA	NA	NA	NA	endosymbiont 'TC1' of Trimyema compressum
GCF_002284855.1	Actinobacteria bacterium IMCC25003	Bacteria	Actinobacteria	NA	NA	NA	NA	Actinobacteria bacterium IMCC25003
GCF_002284895.1	Actinobacteria bacterium IMCC19121	Bacteria	Actinobacteria	NA	NA	NA	NA	Actinobacteria bacterium IMCC19121
GCF_002284915.1	Actinobacteria bacterium IMCC26077	Bacteria	Actinobacteria	NA	NA	NA	NA	Actinobacteria bacterium IMCC26077
GCF_002284875.1	Actinobacteria bacterium IMCC26103	Bacteria	Actinobacteria	NA	NA	NA	NA	Actinobacteria bacterium IMCC26103
GCF_002838205.1	Tenericutes bacterium MZ-XQ	Bacteria	Tenericutes	NA	NA	NA	NA	Tenericutes bacterium MZ-XQ
GCF_002838185.1	Tenericutes bacterium MO-XQ	Bacteria	Tenericutes	NA	NA	NA	NA	Tenericutes bacterium MO-XQ
GCF_002214165.1	Candidatus Mancarchaeum acidiphilum	Archaea	Candidatus Micrarchaeota	NA	NA	NA	Candidatus Mancarchaeum	Candidatus Mancarchaeum acidiphilum
GCF_008000775.1	anaerobic archaeon MK-D1	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	Candidatus Prometheoarchaeum	Candidatus Prometheoarchaeum syntrophicum
GCF_003711265.1	Bathymodiolus thermophilus thioautotrophic gill symbiont	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Bathymodiolus thermophilus thioautotrophic gill symbiont
GCF_000754265.1	Candidatus Baumannia cicadellinicola	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Candidatus Baumannia cicadellinicola
GCF_001269425.1	Candidatus Baumannia cicadellinicola	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Candidatus Baumannia cicadellinicola
GCF_004296515.1	endosymbiont of Pachyrhynchus infernalis	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Candidatus Nardonella	endosymbiont of Pachyrhynchus infernalis
GCF_004296475.1	endosymbiont of Sipalinus gigas	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Candidatus Nardonella	endosymbiont of Sipalinus gigas
GCF_001007875.1	Sedimenticola thiotaurini	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Sedimenticola	Sedimenticola thiotaurini
GCF_001293165.1	Candidatus Thioglobus autotrophicus	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Candidatus Thioglobus	Candidatus Thioglobus autotrophicus
GCF_003367375.1	Gallaecimonas mangrovi	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Gallaecimonas	Gallaecimonas mangrovi
GCF_001444425.1	Pseudohongiella spirulinae	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Pseudohongiella	Pseudohongiella spirulinae
GCF_000828615.1	Thiolapillus brandeum	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Thiolapillus	Thiolapillus brandeum
GCF_000746585.1	Rickettsiales bacterium Ac37b	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA	Rickettsiales bacterium Ac37b
GCF_003932735.1	Rickettsiales endosymbiont of Stachyamoeba lipophora	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA	Rickettsiales endosymbiont of Stachyamoeba lipophora
GCF_002688585.1	Candidatus Fonsibacter ubiquis	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	NA	Candidatus Fonsibacter	Candidatus Fonsibacter ubiquis
GCF_003008515.1	Phreatobacter cathodiphilus	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Phreatobacter	Phreatobacter cathodiphilus
GCF_005144885.1	Phreatobacter stygius	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Phreatobacter	Phreatobacter stygius
GCF_000828975.1	Burkholderiales bacterium GJ-E10	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	Burkholderiales bacterium GJ-E10
GCF_001688905.2	Burkholderiales bacterium YL45	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	Burkholderiales bacterium YL45
GCF_001017435.1	[Polyangium] brachysporum	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	[Polyangium] brachysporum
GCF_003072465.1	Candidatus Kinetoplastibacterium sorsogonicusi	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Kinetoplastibacterium	Candidatus Kinetoplastibacterium sorsogonicusi
GCA_003391315.1	Candidatus Vidania fulgoroideae	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Vidania	Candidatus Vidania fulgoroideae
GCF_001447885.1	Candidatus Nasuia deltocephalinicola	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Nasuia	Candidatus Nasuia deltocephalinicola
GCA_002290365.1	Candidatus Nasuia deltocephalinicola	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Nasuia	Candidatus Nasuia deltocephalinicola
GCF_000441555.1	Candidatus Profftella armatura	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Profftella	Candidatus Profftella armatura
GCF_001278785.1	Candidatus Profftella armatura	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Profftella	Candidatus Profftella armatura
GCF_004295685.1	Silvanigrellales bacterium RF1110005	Bacteria	Proteobacteria	Oligoflexia	Silvanigrellales	NA	NA	Silvanigrellales bacterium RF1110005
GCF_900465355.1	Candidatus Bipolaricaulis anaerobius	Bacteria	Candidatus Bipolaricaulota	NA	NA	NA	Candidatus Bipolaricaulis	Candidatus Bipolaricaulis anaerobius
GCF_000392435.1	Candidatus Saccharimonas aalborgensis	Bacteria	Candidatus Saccharibacteria	NA	NA	NA	Candidatus Saccharimonas	Candidatus Saccharimonas aalborgensis
GCF_005697215.1	TM7 phylum sp. oral taxon 488	Bacteria	Candidatus Saccharibacteria	NA	NA	NA	NA	Candidatus Saccharibacteria bacterium oral taxon 488
GCF_002952755.1	Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20	Bacteria	Candidatus Saccharibacteria	NA	NA	NA	NA	Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20
GCF_005697055.1	TM7 phylum sp. oral taxon 955	Bacteria	Candidatus Saccharibacteria	NA	NA	NA	NA	Candidatus Saccharibacteria bacterium oral taxon 955
GCF_005697565.1	TM7 phylum sp. oral taxon 957	Bacteria	Candidatus Saccharibacteria	NA	NA	NA	NA	Candidatus Saccharibacteria bacterium oral taxon 957
GCF_003366055.1	Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1)	Bacteria	NA	NA	NA	NA	NA	Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1)
GCF_000226295.1	Chloracidobacterium thermophilum B	Bacteria	Acidobacteria	Blastocatellia	NA	NA	Chloracidobacterium	Chloracidobacterium thermophilum
GCF_001618865.1	Luteitalea pratensis	Bacteria	Acidobacteria	Vicinamibacteria	NA	Vicinamibacteraceae	Luteitalea	Luteitalea pratensis
GCF_007753915.1	Phycisphaerae bacterium RAS2	Bacteria	Planctomycetes	Phycisphaerae	NA	NA	NA	Phycisphaerae bacterium RAS2
GCF_000146065.2	Candidatus Cloacimonas acidaminovorans str. Evry	Bacteria	Candidatus Cloacimonetes	NA	NA	NA	Candidatus Cloacimonas	Candidatus Cloacimonas acidaminovorans
GCF_900120375.1	Ndongobacter massiliensis	Bacteria	Firmicutes	NA	NA	NA	Ndongobacter	Ndongobacter massiliensis
GCF_001953175.1	Dehalogenimonas formicexedens	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	Dehalogenimonas	Dehalogenimonas formicexedens
GCF_001023575.1	Actinobacteria bacterium IMCC26256	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	Actinobacteria bacterium IMCC26256
GCF_000755705.1	Candidatus Izimaplasma sp. HR1	Bacteria	Tenericutes	NA	NA	NA	Candidatus Izimaplasma	Candidatus Izimaplasma sp. HR1
GCF_003574135.1	cyanobacterium endosymbiont of Rhopalodia gibberula	Bacteria	Cyanobacteria	NA	NA	NA	NA	cyanobacterium endosymbiont of Rhopalodia gibberula
GCF_000025005.1	Thermobaculum terrenum ATCC BAA-798	Bacteria	NA	NA	NA	NA	Thermobaculum	Thermobaculum terrenum
GCF_001560915.1	methanogenic archaeon ISO4-H5	Archaea	Euryarchaeota	Thermoplasmata	NA	NA	NA	methanogenic archaeon ISO4-H5
GCF_000019605.1	Candidatus Korarchaeum cryptofilum OPF8	Archaea	Candidatus Korarchaeota	NA	NA	NA	Candidatus Korarchaeum	Candidatus Korarchaeum cryptofilum
GCF_900065925.1	Candidatus Nitrosotalea devanaterra	Archaea	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosotalea	Candidatus Nitrosotalea devanaterra
GCF_000812185.1	Candidatus Nitrosopelagicus brevis	Archaea	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosopelagicus	Candidatus Nitrosopelagicus brevis
GCF_000955905.1	Candidatus Nitrosotenuis cloacae	Archaea	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosotenuis	Candidatus Nitrosotenuis cloacae
GCF_002787055.1	Candidatus Nitrosotenuis aquarius	Archaea	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosotenuis	Candidatus Nitrosotenuis aquarius
GCF_002886065.1	Francisella tularensis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis
GCF_003955775.1	Francisella tularensis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis
GCF_003955795.1	Francisella tularensis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis
GCF_003955815.1	Francisella tularensis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis
GCF_000833195.1	Francisella philomiragia	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella philomiragia
GCF_000833215.1	Francisella philomiragia	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella philomiragia
GCF_000833255.1	Francisella philomiragia	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella philomiragia
GCF_000833295.1	Francisella philomiragia	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella philomiragia
GCF_000833315.1	Francisella philomiragia	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella philomiragia
GCF_001042565.2	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_001190905.2	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_001885275.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330245.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330265.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330285.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330305.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330325.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330345.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330365.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330385.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330405.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330425.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330445.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330465.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330485.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330505.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330525.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_008330545.1	Francisella noatunensis subsp. orientalis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella orientalis
GCF_002211785.1	Francisella halioticida	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella halioticida
GCF_000219045.1	Francisella sp. TX077308	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella salina
GCF_001895265.1	Francisella sp. TX077310	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella uliginis
GCF_000195555.1	Francisella hispaniensis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella hispaniensis
GCF_001880225.1	Francisella sp. CA97-1460	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella frigiditurris
GCF_003290445.1	Francisella adeliensis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella adeliensis
GCF_003347095.1	Francisella sp. 14-2155	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella opportunistica
GCF_003347115.1	Francisella sp. MA06-7296	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella opportunistica
GCF_003347135.1	Francisella sp. PA05-1188	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella opportunistica
GCF_008369765.1	Francisella marina	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella marina
GCF_008369785.1	Francisella marina	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella marina
GCF_000815225.1	Allofrancisella guangzhouensis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Allofrancisella	Allofrancisella guangzhouensis
GCF_000756415.2	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_000756435.2	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001514395.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001534725.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001746795.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932595.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932735.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932755.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932775.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932795.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932815.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932835.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932855.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932875.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932895.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932915.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932935.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_001932955.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_003850185.1	Piscirickettsia salmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
GCF_004786015.1	Hydrogenovibrio crunogenus	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio	Hydrogenovibrio crunogenus
GCF_004028275.1	Hydrogenovibrio thermophilus	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio	Hydrogenovibrio thermophilus
GCF_000260985.4	Methylophaga nitratireducenticrescens	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga	Methylophaga nitratireducenticrescens
GCF_000260965.1	Methylophaga frappieri	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga	Methylophaga frappieri
GCF_004001325.1	Thiomicrorhabdus aquaedulcis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Thiomicrorhabdus	Thiomicrorhabdus aquaedulcis
GCF_004293625.1	Thiomicrorhabdus sp. 13-15A	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Thiomicrorhabdus	Thiomicrorhabdus indica
GCF_001305575.2	Beggiatoa leptomitoformis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Beggiatoa	Beggiatoa leptomitoformis
GCF_002849755.1	Beggiatoa leptomitoformis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Beggiatoa	Beggiatoa leptomitoformis
GCF_000828835.1	Thioploca ingrica	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thioploca	Thioploca ingrica
GCF_001932555.1	Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus
GCF_002813065.1	Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus
GCF_003323815.1	Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus
GCF_003430865.2	Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus
GCF_003952705.1	Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus
GCF_004379355.1	Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus
GCF_003335165.1	Acinetobacter johnsonii	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
GCF_003952785.1	Acinetobacter johnsonii	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
GCF_008180305.1	Acinetobacter johnsonii	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
